"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76"
"1",131.85,88,50.3,54.1,77.75,87.35,73.8,68.35,71.8,95.55,127.3,153.45,156.35,277.7,917.9,2728.25,4834.4,4825.35,2779.4,1041.45,354.9,165.45,143.25,145.75,133.35,111.2,103.4,107.4,109.5,109.85,113.35,116.7,114.6,121.45,124.7,146.45,210.9,296.95,322.1,264.45,180.4,149.55,148.85,149.6,139.4,131,124.7,127.7,127.3,128.05,139.3,174.7,288.75,501.2,710.6,654.55,434.75,239.75,168.45,175.45,274.8,517.45,951.4,1324.1,1252.3,778.75,372.5,183.95,141.2,174.9,232.2,266.55,231.95,177.95,126.75,101.6
"2",130.2,90.6,49.15,49,76.2,87.55,75.3,65.2,68.9,93.6,127.45,149.2,161.25,280.1,906.45,2687.75,4781.75,4711.65,2746.05,1040,351.35,171.7,150.3,143.8,133.25,114.8,107.65,104.5,108.9,112.05,112.3,116.5,119.3,118.95,125.25,146.95,212.95,300.6,328.25,264.6,186.55,152.4,147.65,140.45,136.4,130.45,126.15,125.95,128.4,128.05,138.1,175.1,301.7,547.85,766,712.7,470.35,251.15,171.6,180.25,272.75,529.8,945.6,1292.8,1217.55,780.4,361.05,176.05,140.55,171.55,225.15,253.8,235.4,168.2,123.95,106.4
"3",135.7,91.65,55,59.35,82.85,106.45,88.55,67.4,78.95,99.2,127.9,150.45,158.55,264.05,853.55,2518,4448.95,4400.35,2557.25,989.15,343.4,172.95,151.15,152.65,140.45,121.6,107.95,110.4,110.05,113.1,119.4,119.55,115.8,119.65,124.55,149.3,209.85,287.55,314.1,264.6,185.45,147.6,149.5,141.8,137.3,128.3,130,128.3,133.45,136.5,138.6,167.1,275.25,484.2,673.6,644.3,416.9,240.35,165.45,186.35,295.9,607.3,1160.65,1625.95,1554.2,976.25,453.45,194.8,151.85,187.45,270.45,310,271.15,191.6,131.2,108.6
"4",138.125,94,52,51.625,78.5,94.1875,81.0625,69.8125,71.875,98.5,139.1875,145.0625,159.8125,262.9375,866.9375,2538.9,4507.025,4472.1,2604.025,1005.2125,351.6875,180.8125,161.5,164.8125,149.5625,123.3125,114.25,112.25,110.125,116.9375,117.9375,116.0625,116.125,113.75,126.625,150.125,216.4375,311.1875,336.5,272.6875,192.4375,154.0625,157.25,143.8125,137.25,133.8125,130.375,130.5,131.125,133.5625,138.875,177.5625,284.6875,481.9375,695.6875,633.75,426,243.75,169.0625,177.75,296.5,611.3125,1146.7125,1589.725,1513.025,953.0125,436.4375,204.4375,148.3125,187.5,262.0625,295.5625,270.125,188,133.375,107
"5",138.25,92.9,49.45,55.4,81.05,94.7,78.85,69.3,70.2,87.15,119,136.65,159.55,274.4,944.35,2800.4,4970.6,4931.2,2869.05,1091.7,364.4,172.65,141.45,127.85,121.4,109.45,103.9,107.75,107.35,107.15,121,111.6,111.05,117.2,124.15,144.4,208,301.6,333.6,267.35,188.15,148.65,141.15,142.7,130.95,126.4,121.35,129.35,126.75,129.55,137.1,160.4,251.6,419.4,581.65,558.4,371.35,215.15,155.1,166.45,258.5,503.95,957.4,1326.2,1256.85,806.85,380.75,182.7,139.2,166.5,234.75,265.35,237.1,174.9,127.05,110.6
"6",128.8,87.7,47.65,49.5,68.05,78.25,70.55,63.9,78.7,120.55,163.15,184.9,180.85,289.7,950.5,2784.9,4942.9,4922.05,2845.05,1082.8,354,166.2,129.65,130.8,122.1,113.9,105.55,105.5,109.75,109.45,111.9,114.6,114.6,114.95,125.3,145.25,204.55,279.25,316.55,256.9,179.95,148.3,145.55,139.45,129.3,126.35,124.15,122.95,125.95,132.4,131.4,166.85,283.6,509.45,710.95,681.6,448.05,244.15,162.9,165,243,420.7,722.5,963.2,915.15,596.05,286.4,158.95,132.45,145.9,188.25,220.1,195.5,149.45,115.8,106
"7",123.85,87.45,50.1,58.8,83.5,99.45,86.1,71.1,73.5,104.1,138,157.05,168,267.25,895.7,2620.7,4606.6,4550.85,2631.4,1017.3,351.4,180.9,159.1,153.45,140.7,121.8,114.8,110.85,116.45,115.45,117.85,121.85,121.9,123.1,124.35,153.75,212.65,296.75,327.1,268.5,189.95,153.9,151.5,147.55,139.05,135.1,135,133.5,133.05,134.5,140.6,165.85,266.7,468.2,624.1,592,402.25,235.75,173,193.15,317.3,683.8,1346.75,1934.55,1802.6,1127.65,495.7,215,160.9,203,296.25,348.45,310.45,211.45,136.4,110.2
"8",152.55,101.35,55.75,51.4,74.1,85.65,75.9,64.2,72.55,97.05,123.35,146.8,164.7,280.25,953.45,2862.5,5066.45,5063.1,2920,1108.5,356.9,155,112.15,103.55,98.5,96.9,98.95,101.15,109.6,123.5,129.55,125.75,119.8,114.25,119.55,134.85,182.1,243.85,264.8,216.8,160.8,138.1,135.3,130.75,123.25,124.25,122,122.45,120.95,125.25,132.8,156.85,242.7,403.35,552.9,530.8,353.5,208.25,150.45,164.4,228.15,398.4,712.55,997.05,933.2,612.2,299.25,157.05,129.65,151.35,192,216.65,204.25,152.7,121.1,98.6
"9",120.0425,80.75,48.8335,53.3335,73.91675,87.9165,78.125,64.5,66.6665,84.2915,116.875,134.165,152,279.165,934.6675,2735.075,4701.95,4720.075,2742.025,1062.65,355.17,171.0825,135.3725,135.835,119.8725,107.585,105.29175,104.4175,106.625,108.54,112.8325,111.7925,116,120.585,122.04,145.415,208.8775,288.585,320.3325,260.3725,187.79,148.875,147.7475,138.54,130.8775,127.625,125.46,122.375,128.4975,125.6225,134.0425,159.21,252.8775,427.54,570.54,542.0825,364.46,217.75,161.0825,170.9175,279.955,558.96,1044.35,1451.15,1381.025,860.875,405.625,187.4175,145.1225,183.2925,241.125,285.835,256.625,177.6675,127.08,105.67
"10",142.1,94.45,53.85,48.85,62.2,76.15,67.85,63.2,74.2,106.1,141.8,159.7,163.9,273.45,887.35,2550.9,4437.35,4462.1,2584.4,1006.3,341.85,165.9,137.45,140.8,132.65,107.9,102.4,103,111.15,112.75,116.7,118.3,116.1,119.6,123.95,149.75,223.35,313.1,337.5,279.8,191.35,152.15,148.5,145.25,135.15,126.45,121.7,125.95,123.95,128.2,138.4,174.9,301.35,548.5,765.25,728.5,477.35,247.2,168.9,178.85,255.1,454.55,775.95,1035.65,941.95,623.05,304.2,156.8,134.25,157.95,194.95,218.4,201.9,153.65,123.4,98.8
