"","x"
"1",13.904
"2",14.194
"3",14.668
"4",14.8
"5",14.078
"6",13.6
"7",12.942
"8",15.656
"9",13.935
"10",17.174
"11",14.004
"12",13.44
"13",14.744
"14",13.984
"15",17.05
"16",14.992
"17",13.976
"18",14.389
"19",6.084
"20",6.558
"21",4.808
"22",6.826
"23",5.164
"24",3.516
"25",8.142
"26",5.274
"27",7.148
"28",6.238
"29",6.042
"30",5.936
"31",6.272
"32",5.332
"33",7.306
"34",14.93
"35",16.128
"36",16.256
"37",12.976
"38",15.496
"39",15.912
"40",16.016
"41",14.684
"42",14.8
"43",11.826
"44",15.49
"45",15.752
"46",13.188
"47",14.016
"48",12.9
"49",15.57
"50",12.952
"51",13.154
"52",17.024
"53",14.19
"54",15.692
"55",15.818
"56",16.02
"57",1.602
"58",1.512
"59",1.22
"60",0.986
"61",1.7
"62",1.282
"63",1.18
"64",5.772
"65",5.886
"66",5.514
"67",4.91
"68",4.812
"69",4.102
"70",4.208
"71",5.526
"72",4.066
"73",4.35
"74",2.01
"75",1.206
"76",1.504
"77",16.956
"78",13.088
"79",15.038
"80",14.502
"81",12.924
"82",14.606
"83",17.586
"84",15.04
"85",14.923
"86",14.258
"87",13.402
"88",14.355
"89",14.207
"90",14.093
"91",14.782
"92",12.576
"93",13.172
"94",14.164
"95",15.164
"96",13.582
"97",13.812
"98",13.62
"99",13.662
"100",15.038
"101",15.572
"102",11.742
"103",13.11
"104",15.854
"105",15.576
"106",14.266
"107",13.516
"108",14.206
"109",9.922
"110",16.345
"111",16.55
"112",15.37
"113",13.788
"114",15.82
"115",14.4
"116",14.926
"117",14.03
"118",15.05
"119",14.202
"120",12.138
"121",15.516
"122",14.906
"123",17.125
"124",13.44
"125",11.012
"126",11.168
"127",11.174
"128",16.784
"129",11.06
"130",15.918
"131",15.89
"132",16.452
"133",17.19
"134",16.476
"135",11.59
"136",13.178
"137",14.774
"138",14.084
"139",11.552
"140",14.974
"141",16.654
"142",15.033
"143",13.95
"144",15.954
"145",15.802
"146",14.93
"147",15.34
"148",16.01
"149",13.432
"150",14.456
"151",15.308
"152",12.134
"153",15.726
"154",14.128
"155",16.196
"156",15.556
"157",15.654
"158",14.374
"159",15.388
"160",15.328
"161",15.438
"162",15.114
"163",15.202
"164",15.928
"165",12.606
"166",15.17
"167",13.912
"168",12.044
"169",15.48
"170",14.388
"171",16.13
"172",15.47
"173",15.522
"174",15.366
"175",11.826
"176",12.196
"177",12.208
"178",15.816
"179",12.446
"180",13.89
